isbn13;titre;auteur;editeur;date;langue;prix
9782864247456;Le Marchand de passés;Jose eduardo Agualusa;Anne-Marie Métailié;18 mars 2010;Français;2.58
9782091825700;ABC du bac, mathématiques niveau première S, tome 1;Collectif;Nathan;26 mars 1999;Français;6.29
9782070631865;Les Mondes de Chrestomanci, Les neuf vies du magicien;Diana Wynne Jones,Sylvie Simon;Folio Junior;21 octobre 2010;Anglais, Français;8.50
9782718901916;Missel dimanche -skivertex havane-;Jounel;Desclee;10 janvier 1995;Français;8.99
9782092504833;Mon carnet vietnamien;Marie Sellier,Cécile Gambini;Nathan;1 août 2005;Français;11.49
9782738452924;Rwanda: Un peuple avec une histoire;C-M Overdulve;Editions L'Harmattan;3 mai 2000;Français;22.35
9782047294338;Place aux maths ! Livre du maître, CM1;Collectif,Josiane Hélayel;Bordas;1 septembre 2001;Français;6.99
9782706707131;A la source de l ordre de la visitation;François e Bouchard;Editions Salvator;21 janvier 2010;Français;12.00
9782266049153;Le dernier des Mohicans : Histoire de 1757;Fenimore Cooper James;Pocket;28 août 1992;Français;0.63
9782711126798;Exercices de fiscalité des entreprises: 95-96 (ancienne édition);Martial Chadefaux,Maurice Cozian;"Lexis Nexis; 9e éd";1 décembre 1996;Français;14.99
9782070219155;Le mont damion;A. Dhôtel;Gallimard;7 octobre 1964;Français;87.00
9782290050378;Pour l'amour d'un père : Récit;Georgina Souty;J'ai lu;4 janvier 1999;Français;0.90
9782203005952;Habitant de l'infini (l') - 2eme edition Vol.19;SAMURA Hiroaki;Casterman;15 août 2007;Français;10.95
9782845734265;"A l'écoute d'Israël, en église : "" Car de Sion sort la Torah et de Jérusalem la Parole de Dieu.""";Pierre Lenhardt;Parole et Silence;11 mai 2006;Français;23.40
9782710314813;La Montagne;J.C. Fontanet;La Table Ronde;18 mars 1970;Français;7.00
9782841141104;Le raja;Jacques Lanzmann;Ramsay;1 décembre 1995;Français;0.99
9782738455383;Les instrumentistes d'orchestres symphoniques: Variations diaboliques;Alfred Willener;Editions L'Harmattan;3 mai 2000;Français;20.85
9782259014243;Retour aux sources : 1962, l'année décisive;Etienne Burin des Roziers;"Plon; PLON";1 avril 1989;Français;4.64
9782742747566;Naïve : Maison d'artistes;Yasmine Khlat,Patrick Zelnik,Marianne Gaussiat;Actes Sud;1 janvier 2004;Français;2.48
9782746912069;Petit Futé Paris Ile-de-France 2005-2006;Dominique Auzias,Collectif;"Nouvelles Editions de l'Université; 4e edition";2 mars 2005;Français;5.50
9782266055789;Et si on se parlait;A. Le Bigot,B. Petit;Pocket;26 avril 1993;Français;0.89
9782267020977;Lexique nomade;Raphaëlle Rérolle,Vincent Delecroix,Martin Page;"Christian Bourgois Editeur; édition 2010";15 mai 2010;Français;7.10
9782758800729;Quand le sport s'affiche. Affiches publicitaires et représentations du sport en France (1918-1939);Jean-Yves Guillain;Atlantica;24 octobre 2008;Français;40.00
9782263024504;Les meilleurs gâteaux;Barbara Maher;Solar;16 mars 1998;Français;15.82
9782224010874;Entreprise santé;Roger Amiel;Maloine;20 janvier 2009;Français;21.32
9782296019614;Samba le fou;Abibatou Traore Kemgne;Editions L'Harmattan;1 novembre 2006;Français;16.00
9782706110375;La raison du client;Peggy Louppe-Alt;Presses Universitaires de Grenoble;7 janvier 2003;Français;11.99
9782841964833;Au cours de danse : Avec peluche;Mandy Stanley,Faustina Fiore;Quatre Fleuves;2 avril 2005;Français;8.47
9782207305669;Mange-monde;S. Brussolo;Denoël;16 novembre 1993;Français;2.50
9782012092594;Langelot contre monsieur T.;Lieutenant X;Hachette;1 décembre 1994;Français;2.84
9782226040619;Les Requins;Tanner Ottley Gay,Jean Cassels;Albin Michel;10 janvier 1991;Français;3.82
9782265027817;Creuse ma taupe;Mazarin J;"Fleuve noir; EDITIONS FLEUVE NOIR COLLECTION ENGRENAGE N°106";1 octobre 1984;Français;4.44
9782226190840;Le destin de Marthe Rivière;Georges-Patrick Gleize;Albin Michel;4 mars 2009;Français;5.74
9782203017689;Une enquête de l'inspecteur Canardo, Tome 18 : La fille sans visage;Sokal,Pascal Regnauld;Casterman;9 février 2009;Français;11.50
9782912485526;Au bord du monde : Les mémoires du juge de Pinochet;Juan Guzmán,Medhi Ba;Editions des Arènes;11 septembre 2003;Français;2.45
9782841460960;Locataires, le guide de vos droits;C S C V;Syros;4 octobre 1994;Français;4.77
9782890898844;Découvrez votre ascendant;Jacqueline Aubry;Québécor;26 décembre 1994;Français;203.61
9782226104267;Madame Rose;Michel Déon;"Albin Michel; ALBIN MICHEL";28 avril 1998;Français;18.60
9782280079990;Au nom du bonheur;Judy Duarte;Harlequin;1 décembre 2006;Français;3.01
9782100036905;Diagnostic et décisions stratégiques;Tugrul Atamer,Roland Calori;Dunod;9 janvier 1998;Français;20.20
9782020008389;Leçon des tenebres (la) 022796;Jacquema;Seuil;1954;Français;17.59
9782040195052;Français, 4e. Cahier d'exercices;Spiess;Bordas Editions;15 avril 1999;Français;0.90
9782747587518;Chaîne (T3) des Monts Taebaek;Jo Jong-Nae;L'Harmattan;2 juillet 2005;Français;30.00
9782844943705;La Clairière aux genêts;Christiane Gallois;Editions De Borée;25 avril 2006;Français;1.19
9782738455970;Pouvoir colonial, municipalités et espaces urbains: Conakry-Freetown des années 1880 à 1914;Odile Goerg;L'Harmattan;1 septembre 1997;Français;55.40
9782253099123;La nuit est mon royaume;Mary Higgins Clark;Le Livre de Poche;4 janvier 2006;Français;7.60
9782011697035;Histoire-Géographie Education civique 3e : Fiches détachables;Richard Basnier;Hachette Education;27 février 2008;Français;0.98
9782296019591;Socio-anthropologie de la haute montagne : Biographie des hauts-lieux;Viviane Seigneur;Editions L'Harmattan;1 janvier 2007;Français;26.50
9782745907516;Drogue : Idées toxiques;Francis Curtet;Milan;27 mars 2003;Français;5.13
9782748508406;Les clefs de Babel;Carina Rozenfeld,Stéphanie Hans;Syros Jeunesse;28 mai 2009;Français;1.19
9782877064095;Quatre années sans relâche;Pierre Barillet;Editions de Fallois;15 mars 2001;Français;20.00
9782738455864;Les démocraties modernes à l'épreuve;Claüs Offe;Editions L'Harmattan;3 mai 2000;Français;28.95
9782070500208;10 histoires de châteaux;Meredith Hooper,Stephen Biesty,Bruno Porlier;Gallimard Jeunesse;23 septembre 2004;Français;3.48
9782868100498;Renga, jeu pour une enfance;Jacqueline Held,Claude Held;Folle Avoine;14 janvier 1992;Français;9.50
9782904592003;Les Îles de Tahiti;Erwin Christian,Raymond Bagnis;"Kea editions; 3e éd.";1988;Français;22.99
9782744122750;Séduction;Judith McNaught,Danièle Berdou;France-Loisirs;1999;Français;1.20
9782850151859;L'A.B.D. de l'épargne - Caisse d'Épargne;Marcel UDERZO;Caisse d'Épargne;1982;Français;8.99
9782296106703;De la transmission à l'apprentissage : Contribution à une modélisation de la relation pédagogique;Henri Vieille-Grosjean;Editions L'Harmattan;1 novembre 2009;Français;20.00
9782723464673;Le chocolat selon Bernachon;Stéphane Deligeorges,Vavro,Jacques Caillaut;Glénat;25 novembre 2009;Français;45.50
9782863770078;Grand armorial equestre de la toison d'or. costumes urais (1980);Larchey Loredan;Le Leopard d'Or;26 janvier 1996;Français;15.00
9782226027757;Revue de Synthèse, Janvier-juin 1986 : Questions d'histoire intellectuelle;Collectif;Albin Michel;11 septembre 1986;Français;9.99
9782080644701;Pour rétablir une verité;Georges Pompidou;"Flammarion; FLAMMARION .";juin 1982;Français;1.19
9782910868680;Beau Navire Saint-Etienne 1930-1960 (le);Gros Claude;Actes Graphiques;16 octobre 2004;Français;2.39
9782841178216;A nous le français ! CE2, cycle 3 1e année;Yves Mole,Serge Boëche,Régis Delpeuch;Editions SEDRAP;18 juillet 2007;Français;7.00
9782745902368;Rimes choses;Pierre Coran,Nathalie Novi;Milan;20 février 2001;Français;1.45
9782738465412;"Libre enfant de Favières: ""territoire de serpents""";Guy-Joseph Feller;L'Harmattan;1 avril 1998;Français;23.90
9782226169709;Julie cuisine en quelques minutes;Julie Andrieu;Albin Michel;27 février 2008;Français;6.00
9782070437894;La maison du silence;Orhan Pamuk,Münevver Andaç;Folio;30 septembre 2010;Français;8.80
9782742772704;Nouvelles d'un book;Philippe Deblaise;Actes Sud;15 novembre 2007;Français;19.30
9782070731954;Les Temps modernes, numéro 624;Collectif;Gallimard;15 juin 2003;Français;14.50
9782092523438;Les forêts;Jackie Gaff,Chris Forsey,Ghislaine Tamisier;Nathan;12 mars 2009;Français;4.03
9782228885133;LA VIE SUR LE MISSISSIPI. Tome 1;Mark Twain;Payot;18 novembre 1992;Français;4.79
9782746712171;Atlas d'une nouvelle Europe : L'UE et ses voisins : vers une région mondiale ?;Pierre Beckouche,Yann Richard,Collectif;Editions Autrement;1 septembre 2008;Français;1.99
9782353557172;350 énigmes logiques;Jean-Michel Maman,David Marchal;Editions ESI;6 octobre 2011;Français;3.94
9782070583171;Vieilles neiges;Yves Hughes;Editions Gallimard;4 mars 1994;Français;0.94
9782352910398;LA MORT DU LION;PHILIPPE COLLAS;"Du Pierregord; DU PIERREGORD";1 septembre 2009;Français;6.83
9782894208106;Penser le Soin en Psychiatrie T44;Caenepeel/Didier;Mediaspaul Canada;17 mai 2010;Français;21.38
9782840561293;Descriptions de tableaux;Friedrich Schlegel,Bénédicte Savoy;"ENSBA; 01";14 mai 2003;Néerlandais;33.00
9782207248386;Jusqu'à l'os;Jimmy Boyle,Philippe Rouard;Denoël;23 mars 1999;Français;20.85
9782825104125;Nouvelles voies spirituelles;Mayer;L'Age d'Homme;16 septembre 1993;Français;20.28
9782744062094;Luxe, mensonges et marketing: Mais que font les marques de luxe ?;Marie-Claude Sicard;"Pearson; 2e édition";20 février 2006;Français;5.79
9782879017198;Connaitre la Cuisine du Périgord;Thibault Clementine;Sud Ouest;10 juin 2008;Français;3.90
9782020023252;Arabes et israeliens un premier dialogu 022796;Hussein;"Seuil; SEUIL";1 novembre 1974;Français;4.04
9782213654980;Le hold-up de Sarkozy: Intrigues, lobbying et coups tordus dans les médias;Emmanuel Berretta;Fayard;5 mai 2010;Français;21.50
9782879017334;Mauriac écrivain et journaliste;Bernard Cocula,Jean Lacouture;Editions Sud Ouest;7 septembre 2006;Français;4.42
9782712207076;OU EST JESUS ? Est-il prés de moi ?;Alan Parry,Linda Parry;Editions Médiaspaul;23 septembre 1998;Français;3.85
9782915168488;Dragon Fall, Tome 5 : Touche pas à mes boules !;Nacho Fernandez,Alvaro Lopez,Germanico Laposse;Akileos;15 février 2007;Français;3.98
9782708953383;Le phénomène Cathare : perspectives philosophiques et morales;Nelli;Privat;9 avril 1991;Français;6.40
9782732829029;Réussir sa vie de couple;Claire Pinson;De Vecchi;13 septembre 1996;Français;9.49
9782091900254;La contraction et la synthese de textes 031497;Moreau;Nathan;14 mai 1991;Français;5.20
9782100500000;Bacchus 2008 - Enjeux, stratégies et pratiques dans la filière vitivinicole;Jean-Pierre Couderc,Hervé Hannin,François Hauteville;Dunod;13 juin 2007;Français;12.47
9782235009768;Rien que la verite;VIALAR Paul;"Tallandier.; Tallandier.";1980;Français;9.97
9782505009085;Samurai Deeper Kyo - Intégrale Vol.1;KAMIJÔ Akimine;Dargaud;6 mai 2010;Français;5.90
9782909351483;Cheval blanc. une histoire de millésimes;Fourcaud;Mollat;23 octobre 1998;Français;5.87
9782749303888;L'été 63, Tome 1 :;Marc Bourgne,VoRo;Vents d'Ouest;10 juin 2009;Français;13.90
9782843231445;SYMBOLES DE L ISLAM;MALEK CHEBEL;"ASSOULINE; Assouline";1 octobre 1999;Français;11.23
9782915807837;Luoghi dell'Abbandono - Esplorazioni insolite di un patrimonio dimenticato;David Margaine,Sylvain Margaine;Jonglez;8 juin 2016;Italien;35.00
9782040189266;CIRC.ELEC.CONTIN;Herbert Jackson;Bordas Editions;15 février 1993;Français;10.34
